param_type,name,value,fold,alpha_y,alpha_slight,alpha_serious,alpha_fatal
beta,Region Syddanmark,0.09948262759588243,3,0.761290317982118,0.007114571267690862,0.0008564093820932764,0.11243800974259406
beta,Region Midtjylland,-0.05350701119910997,3,0.761290317982118,0.007114571267690862,0.0008564093820932764,0.11243800974259406
beta,Region Nordjylland,-0.22285443747164163,3,0.761290317982118,0.007114571267690862,0.0008564093820932764,0.11243800974259406
gamma,Intercept,-2.377922897558856,3,0.761290317982118,0.007114571267690862,0.0008564093820932764,0.11243800974259406
gamma,Frac_Truck,-0.008242050281728109,3,0.761290317982118,0.007114571267690862,0.0008564093820932764,0.11243800974259406
gamma,FreeSpeed,0.012124376708006859,3,0.761290317982118,0.007114571267690862,0.0008564093820932764,0.11243800974259406
gamma,URBAN,-0.002417828203585515,3,0.761290317982118,0.007114571267690862,0.0008564093820932764,0.11243800974259406
gamma,Link_group_0,-1.2185075090679496,3,0.761290317982118,0.007114571267690862,0.0008564093820932764,0.11243800974259406
gamma,Link_group_1,0.2923268904826281,3,0.761290317982118,0.007114571267690862,0.0008564093820932764,0.11243800974259406
gamma,Link_group_2,0.5020703676511058,3,0.761290317982118,0.007114571267690862,0.0008564093820932764,0.11243800974259406
gamma,Link_group_3,-0.19517942122628743,3,0.761290317982118,0.007114571267690862,0.0008564093820932764,0.11243800974259406
gamma,Region Hovedstaden,-0.018774085160507003,3,0.761290317982118,0.007114571267690862,0.0008564093820932764,0.11243800974259406
gamma,Region Sjælland,0.12127522402901353,3,0.761290317982118,0.007114571267690862,0.0008564093820932764,0.11243800974259406
gamma,Region Syddanmark,-0.2858823049768965,3,0.761290317982118,0.007114571267690862,0.0008564093820932764,0.11243800974259406
gamma,Region Midtjylland,-0.04652883626584816,3,0.761290317982118,0.007114571267690862,0.0008564093820932764,0.11243800974259406
gamma,Region Nordjylland,0.19418494853172158,3,0.761290317982118,0.007114571267690862,0.0008564093820932764,0.11243800974259406
delta_slight,Intercept,-0.9419505147157299,3,0.761290317982118,0.007114571267690862,0.0008564093820932764,0.11243800974259406
delta_slight,Link_group_0,0.3844550318231153,3,0.761290317982118,0.007114571267690862,0.0008564093820932764,0.11243800974259406
delta_slight,Link_group_1,0.0018252644504272418,3,0.761290317982118,0.007114571267690862,0.0008564093820932764,0.11243800974259406
delta_slight,Link_group_2,-0.007848195558036064,3,0.761290317982118,0.007114571267690862,0.0008564093820932764,0.11243800974259406
delta_slight,Link_group_3,-1.1837458339786457,3,0.761290317982118,0.007114571267690862,0.0008564093820932764,0.11243800974259406
delta_serious,Intercept,-0.33564524966878584,3,0.761290317982118,0.007114571267690862,0.0008564093820932764,0.11243800974259406
delta_serious,Link_group_0,-0.005199303382041275,3,0.761290317982118,0.007114571267690862,0.0008564093820932764,0.11243800974259406
delta_serious,Link_group_1,0.03621404837451316,3,0.761290317982118,0.007114571267690862,0.0008564093820932764,0.11243800974259406
delta_serious,Link_group_2,-0.02924907983010887,3,0.761290317982118,0.007114571267690862,0.0008564093820932764,0.11243800974259406
delta_serious,Link_group_3,0.029414572859454584,3,0.761290317982118,0.007114571267690862,0.0008564093820932764,0.11243800974259406
delta_fatal,Intercept,-2.4397876737732234,3,0.761290317982118,0.007114571267690862,0.0008564093820932764,0.11243800974259406
delta_fatal,Link_group_0,-0.022619403008269024,3,0.761290317982118,0.007114571267690862,0.0008564093820932764,0.11243800974259406
delta_fatal,Link_group_1,0.0685898769630169,3,0.761290317982118,0.007114571267690862,0.0008564093820932764,0.11243800974259406
delta_fatal,Link_group_2,-0.49840486078499996,3,0.761290317982118,0.007114571267690862,0.0008564093820932764,0.11243800974259406
delta_fatal,Link_group_3,0.3355244346155106,3,0.761290317982118,0.007114571267690862,0.0008564093820932764,0.11243800974259406
beta,Intercept,-17.97054527379409,4,0.6774831112002847,0.005293338024157637,0.0006120474649620317,0.14273852705099432
beta,Frac_Truck,1.1873411994566767,4,0.6774831112002847,0.005293338024157637,0.0006120474649620317,0.14273852705099432
beta,SpeedDiff_Car_Van,0.020781611586044555,4,0.6774831112002847,0.005293338024157637,0.0006120474649620317,0.14273852705099432
beta,SpeedDiff_Truck,-0.03736695358511901,4,0.6774831112002847,0.005293338024157637,0.0006120474649620317,0.14273852705099432
beta,URBAN,0.7479230581135962,4,0.6774831112002847,0.005293338024157637,0.0006120474649620317,0.14273852705099432
beta,Link_group_0,-0.19767033780884177,4,0.6774831112002847,0.005293338024157637,0.0006120474649620317,0.14273852705099432
beta,Link_group_1,0.017856788022590445,4,0.6774831112002847,0.005293338024157637,0.0006120474649620317,0.14273852705099432
beta,Link_group_2,0.3950606599187028,4,0.6774831112002847,0.005293338024157637,0.0006120474649620317,0.14273852705099432
